block_id,start_time,end_time,date,K1,K2,K3,K4,pattern,stage,program,n_seconds,duration_s
1,2026-03-10 08:00:00+01:00,2026-03-10 08:00:00+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,1,1
2,2026-03-10 08:00:01+01:00,2026-03-10 08:00:03+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
3,2026-03-10 08:00:04+01:00,2026-03-10 08:00:04+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
4,2026-03-10 08:00:05+01:00,2026-03-10 08:00:11+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,7,7
5,2026-03-10 08:00:12+01:00,2026-03-10 08:00:14+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
6,2026-03-10 08:00:15+01:00,2026-03-10 08:00:20+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,6,6
7,2026-03-10 08:00:21+01:00,2026-03-10 08:00:21+01:00,2026-03-10,2,2,2,5,2-2-2-5,3,3,1,1
8,2026-03-10 08:00:22+01:00,2026-03-10 08:00:32+01:00,2026-03-10,2,2,2,4,2-2-2-4,3,3,11,11
9,2026-03-10 08:00:33+01:00,2026-03-10 08:00:35+01:00,2026-03-10,2,2,2,3,2-2-2-3,4,3,3,3
10,2026-03-10 08:00:36+01:00,2026-03-10 08:00:41+01:00,2026-03-10,2,2,2,2,2-2-2-2,4,3,6,6
11,2026-03-10 08:00:42+01:00,2026-03-10 08:00:42+01:00,2026-03-10,5,2,5,2,5-2-5-2,4,3,1,1
12,2026-03-10 08:00:43+01:00,2026-03-10 08:01:07+01:00,2026-03-10,4,2,4,2,4-2-4-2,4,3,25,25
13,2026-03-10 08:01:08+01:00,2026-03-10 08:01:10+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
14,2026-03-10 08:01:11+01:00,2026-03-10 08:01:27+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,17,17
15,2026-03-10 08:01:28+01:00,2026-03-10 08:01:30+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
16,2026-03-10 08:01:31+01:00,2026-03-10 08:01:33+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
17,2026-03-10 08:01:34+01:00,2026-03-10 08:01:34+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
18,2026-03-10 08:01:35+01:00,2026-03-10 08:01:41+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,7,7
19,2026-03-10 08:01:42+01:00,2026-03-10 08:01:44+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
20,2026-03-10 08:01:45+01:00,2026-03-10 08:01:50+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,6,6
21,2026-03-10 08:01:51+01:00,2026-03-10 08:01:51+01:00,2026-03-10,2,2,2,5,2-2-2-5,3,3,1,1
22,2026-03-10 08:01:52+01:00,2026-03-10 08:02:02+01:00,2026-03-10,2,2,2,4,2-2-2-4,3,3,11,11
23,2026-03-10 08:02:03+01:00,2026-03-10 08:02:05+01:00,2026-03-10,2,2,2,3,2-2-2-3,4,3,3,3
24,2026-03-10 08:02:06+01:00,2026-03-10 08:02:11+01:00,2026-03-10,2,2,2,2,2-2-2-2,4,3,6,6
25,2026-03-10 08:02:12+01:00,2026-03-10 08:02:12+01:00,2026-03-10,5,2,5,2,5-2-5-2,4,3,1,1
26,2026-03-10 08:02:13+01:00,2026-03-10 08:02:36+01:00,2026-03-10,4,2,4,2,4-2-4-2,4,3,24,24
27,2026-03-10 08:02:37+01:00,2026-03-10 08:02:39+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
28,2026-03-10 08:02:40+01:00,2026-03-10 08:02:57+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,18,18
29,2026-03-10 08:02:58+01:00,2026-03-10 08:03:00+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
30,2026-03-10 08:03:01+01:00,2026-03-10 08:03:03+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
31,2026-03-10 08:03:04+01:00,2026-03-10 08:03:04+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
32,2026-03-10 08:03:05+01:00,2026-03-10 08:03:11+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,7,7
33,2026-03-10 08:03:12+01:00,2026-03-10 08:03:14+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
34,2026-03-10 08:03:15+01:00,2026-03-10 08:03:20+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,6,6
35,2026-03-10 08:03:21+01:00,2026-03-10 08:03:21+01:00,2026-03-10,2,2,2,5,2-2-2-5,3,3,1,1
36,2026-03-10 08:03:22+01:00,2026-03-10 08:03:32+01:00,2026-03-10,2,2,2,4,2-2-2-4,3,3,11,11
37,2026-03-10 08:03:33+01:00,2026-03-10 08:03:35+01:00,2026-03-10,2,2,2,3,2-2-2-3,99,3,3,3
38,2026-03-10 08:03:36+01:00,2026-03-10 08:03:41+01:00,2026-03-10,2,2,2,2,2-2-2-2,99,3,6,6
39,2026-03-10 08:03:42+01:00,2026-03-10 08:03:42+01:00,2026-03-10,5,2,5,2,5-2-5-2,99,3,1,1
40,2026-03-10 08:03:43+01:00,2026-03-10 08:04:09+01:00,2026-03-10,4,2,4,2,4-2-4-2,99,3,27,27
41,2026-03-10 08:04:10+01:00,2026-03-10 08:04:12+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
42,2026-03-10 08:04:13+01:00,2026-03-10 08:04:27+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,15,15
43,2026-03-10 08:04:28+01:00,2026-03-10 08:04:30+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
44,2026-03-10 08:04:31+01:00,2026-03-10 08:04:33+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
45,2026-03-10 08:04:34+01:00,2026-03-10 08:04:34+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
46,2026-03-10 08:04:35+01:00,2026-03-10 08:04:58+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,24,24
47,2026-03-10 08:04:59+01:00,2026-03-10 08:05:01+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
48,2026-03-10 08:05:02+01:00,2026-03-10 08:05:03+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,2,2
49,2026-03-10 08:05:04+01:00,2026-03-10 08:05:04+01:00,2026-03-10,2,2,5,2,2-2-5-2,3,3,1,1
50,2026-03-10 08:05:05+01:00,2026-03-10 08:05:08+01:00,2026-03-10,2,2,4,2,2-2-4-2,3,3,4,4
51,2026-03-10 08:05:09+01:00,2026-03-10 08:05:09+01:00,2026-03-10,5,2,4,2,5-2-4-2,3,3,1,1
52,2026-03-10 08:05:10+01:00,2026-03-10 08:05:39+01:00,2026-03-10,4,2,4,2,4-2-4-2,3,3,30,30
53,2026-03-10 08:05:40+01:00,2026-03-10 08:05:42+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
54,2026-03-10 08:05:43+01:00,2026-03-10 08:05:57+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,15,15
55,2026-03-10 08:05:58+01:00,2026-03-10 08:06:00+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
56,2026-03-10 08:06:01+01:00,2026-03-10 08:06:03+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
57,2026-03-10 08:06:04+01:00,2026-03-10 08:06:04+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
58,2026-03-10 08:06:05+01:00,2026-03-10 08:06:11+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,7,7
59,2026-03-10 08:06:12+01:00,2026-03-10 08:06:14+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
60,2026-03-10 08:06:15+01:00,2026-03-10 08:06:20+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,6,6
61,2026-03-10 08:06:21+01:00,2026-03-10 08:06:21+01:00,2026-03-10,2,2,2,5,2-2-2-5,3,3,1,1
62,2026-03-10 08:06:22+01:00,2026-03-10 08:06:32+01:00,2026-03-10,2,2,2,4,2-2-2-4,3,3,11,11
63,2026-03-10 08:06:33+01:00,2026-03-10 08:06:35+01:00,2026-03-10,2,2,2,3,2-2-2-3,4,3,3,3
64,2026-03-10 08:06:36+01:00,2026-03-10 08:06:41+01:00,2026-03-10,2,2,2,2,2-2-2-2,4,3,6,6
65,2026-03-10 08:06:42+01:00,2026-03-10 08:06:42+01:00,2026-03-10,5,2,5,2,5-2-5-2,4,3,1,1
66,2026-03-10 08:06:43+01:00,2026-03-10 08:07:09+01:00,2026-03-10,4,2,4,2,4-2-4-2,4,3,27,27
67,2026-03-10 08:07:10+01:00,2026-03-10 08:07:12+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
68,2026-03-10 08:07:13+01:00,2026-03-10 08:07:27+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,15,15
69,2026-03-10 08:07:28+01:00,2026-03-10 08:07:30+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
70,2026-03-10 08:07:31+01:00,2026-03-10 08:07:33+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
71,2026-03-10 08:07:34+01:00,2026-03-10 08:07:34+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
72,2026-03-10 08:07:35+01:00,2026-03-10 08:07:41+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,7,7
73,2026-03-10 08:07:42+01:00,2026-03-10 08:07:44+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
74,2026-03-10 08:07:45+01:00,2026-03-10 08:07:50+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,6,6
75,2026-03-10 08:07:51+01:00,2026-03-10 08:07:51+01:00,2026-03-10,2,2,2,5,2-2-2-5,3,3,1,1
76,2026-03-10 08:07:52+01:00,2026-03-10 08:08:02+01:00,2026-03-10,2,2,2,4,2-2-2-4,3,3,11,11
77,2026-03-10 08:08:03+01:00,2026-03-10 08:08:05+01:00,2026-03-10,2,2,2,3,2-2-2-3,4,3,3,3
78,2026-03-10 08:08:06+01:00,2026-03-10 08:08:11+01:00,2026-03-10,2,2,2,2,2-2-2-2,4,3,6,6
79,2026-03-10 08:08:12+01:00,2026-03-10 08:08:12+01:00,2026-03-10,5,2,5,2,5-2-5-2,4,3,1,1
80,2026-03-10 08:08:13+01:00,2026-03-10 08:08:46+01:00,2026-03-10,4,2,4,2,4-2-4-2,4,3,34,34
81,2026-03-10 08:08:47+01:00,2026-03-10 08:08:49+01:00,2026-03-10,3,2,3,2,3-2-3-2,1,3,3,3
82,2026-03-10 08:08:50+01:00,2026-03-10 08:08:54+01:00,2026-03-10,2,2,2,2,2-2-2-2,1,3,5,5
83,2026-03-10 08:08:55+01:00,2026-03-10 08:08:55+01:00,2026-03-10,2,5,2,2,2-5-2-2,1,3,1,1
84,2026-03-10 08:08:56+01:00,2026-03-10 08:09:11+01:00,2026-03-10,2,4,2,2,2-4-2-2,1,3,16,16
85,2026-03-10 08:09:12+01:00,2026-03-10 08:09:14+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
86,2026-03-10 08:09:15+01:00,2026-03-10 08:09:20+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,6,6
