phase,pattern,K1,K2,K3,K4,duration_s,sumo_state
1,3-2-2-2,3,2,2,2,1,rrrrrrrrrrrrryyyyyrrrr
2,2-2-2-2,2,2,2,2,3,rrrrrrrrrrrrrrrrrrrrrr
3,2-5-2-2,2,5,2,2,1,yyyyyrrrrrrrrrrrrryyyy
4,2-4-2-2,2,4,2,2,7,GGGGGrrrrrrrrrrrrrGGGG
5,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy
6,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr
7,2-2-2-5,2,2,2,5,1,rrrrrrrrryyyyrrrrrrrrr
8,2-2-2-4,2,2,2,4,11,rrrrrrrrrGGGGrrrrrrrrr
9,2-2-2-3,2,2,2,3,3,rrrrrrrrryyyyrrrrrrrrr
10,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr
11,5-2-5-2,5,2,5,2,1,rrrrryyyyrrrryyyyyrrrr
12,4-2-4-2,4,2,4,2,25,rrrrrGGGGrrrrGGGGGrrrr
13,4-2-3-2,4,2,3,2,3,rrrrryyyyrrrrGGGGGrrrr
14,4-2-2-2,4,2,2,2,17,rrrrrrrrrrrrrGGGGGrrrr
15,3-2-2-2,3,2,2,2,3,rrrrrrrrrrrrryyyyyrrrr
16,2-2-2-2,2,2,2,2,3,rrrrrrrrrrrrrrrrrrrrrr
17,2-5-2-2,2,5,2,2,1,yyyyyrrrrrrrrrrrrryyyy
18,2-4-2-2,2,4,2,2,7,GGGGGrrrrrrrrrrrrrGGGG
19,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy
20,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr
