scenario,phase,pattern,K1,K2,K3,K4,duration_s,sumo_state,phase_type
weekday_evening,1,2-4-2-2,2,4,2,2,11,GGGGGrrrrrrrrrrrrrGGGG,Release
weekday_evening,2,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy,Transition
weekday_evening,3,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekday_evening,4,2-2-2-5,2,2,2,5,1,rrrrrrrrryyyyrrrrrrrrr,Transition
weekday_evening,5,2-2-2-4,2,2,2,4,11,rrrrrrrrrGGGGrrrrrrrrr,Release
weekday_evening,6,2-2-2-3,2,2,2,3,3,rrrrrrrrryyyyrrrrrrrrr,Transition
weekday_evening,7,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekday_evening,8,5-2-5-2,5,2,5,2,1,rrrrryyyyrrrryyyyyrrrr,Transition
weekday_evening,9,4-2-4-2,4,2,4,2,40,rrrrrGGGGrrrrGGGGGrrrr,Release
weekday_evening,10,3-2-3-2,3,2,3,2,3,rrrrryyyyrrrryyyyyrrrr,Transition
weekday_evening,11,2-2-2-2,2,2,2,2,5,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekday_evening,12,2-5-2-2,2,5,2,2,1,yyyyyrrrrrrrrrrrrryyyy,Transition
weekday_evening,13,2-4-2-2,2,4,2,2,12,GGGGGrrrrrrrrrrrrrGGGG,Release
weekday_evening,14,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy,Transition
weekday_evening,15,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekday_evening,16,2-2-2-5,2,2,2,5,1,rrrrrrrrryyyyrrrrrrrrr,Transition
weekday_evening,17,2-2-2-4,2,2,2,4,14,rrrrrrrrrGGGGrrrrrrrrr,Release
weekday_evening,18,2-2-2-3,2,2,2,3,3,rrrrrrrrryyyyrrrrrrrrr,Transition
weekday_evening,19,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekday_evening,20,5-2-5-2,5,2,5,2,1,rrrrryyyyrrrryyyyyrrrr,Transition
