scenario,phase,pattern,K1,K2,K3,K4,duration_s,sumo_state,phase_type
weekday_morning,1,3-2-2-2,3,2,2,2,1,rrrrrrrrrrrrryyyyyrrrr,Transition
weekday_morning,2,2-2-2-2,2,2,2,2,3,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekday_morning,3,2-5-2-2,2,5,2,2,1,yyyyyrrrrrrrrrrrrryyyy,Transition
weekday_morning,4,2-4-2-2,2,4,2,2,7,GGGGGrrrrrrrrrrrrrGGGG,Release
weekday_morning,5,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy,Transition
weekday_morning,6,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekday_morning,7,2-2-2-5,2,2,2,5,1,rrrrrrrrryyyyrrrrrrrrr,Transition
weekday_morning,8,2-2-2-4,2,2,2,4,11,rrrrrrrrrGGGGrrrrrrrrr,Release
weekday_morning,9,2-2-2-3,2,2,2,3,3,rrrrrrrrryyyyrrrrrrrrr,Transition
weekday_morning,10,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekday_morning,11,5-2-5-2,5,2,5,2,1,rrrrryyyyrrrryyyyyrrrr,Transition
weekday_morning,12,4-2-4-2,4,2,4,2,25,rrrrrGGGGrrrrGGGGGrrrr,Release
weekday_morning,13,4-2-3-2,4,2,3,2,3,rrrrryyyyrrrrGGGGGrrrr,Release
weekday_morning,14,4-2-2-2,4,2,2,2,17,rrrrrrrrrrrrrGGGGGrrrr,Release
weekday_morning,15,3-2-2-2,3,2,2,2,3,rrrrrrrrrrrrryyyyyrrrr,Transition
weekday_morning,16,2-2-2-2,2,2,2,2,3,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekday_morning,17,2-5-2-2,2,5,2,2,1,yyyyyrrrrrrrrrrrrryyyy,Transition
weekday_morning,18,2-4-2-2,2,4,2,2,7,GGGGGrrrrrrrrrrrrrGGGG,Release
weekday_morning,19,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy,Transition
weekday_morning,20,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr,Clearance
