scenario,phase,pattern,K1,K2,K3,K4,duration_s,sumo_state,phase_type
weekend_evening,1,2-4-2-2,2,4,2,2,18,GGGGGrrrrrrrrrrrrrGGGG,Release
weekend_evening,2,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy,Transition
weekend_evening,3,2-2-2-2,2,2,2,2,2,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekend_evening,4,2-2-5-2,2,2,5,2,1,rrrrryyyyrrrrrrrrrrrrr,Transition
weekend_evening,5,2-2-4-2,2,2,4,2,4,rrrrrGGGGrrrrrrrrrrrrr,Release
weekend_evening,6,5-2-4-2,5,2,4,2,1,rrrrrGGGGrrrryyyyyrrrr,Release
weekend_evening,7,4-2-4-2,4,2,4,2,43,rrrrrGGGGrrrrGGGGGrrrr,Release
weekend_evening,8,3-2-3-2,3,2,3,2,3,rrrrryyyyrrrryyyyyrrrr,Transition
weekend_evening,9,2-2-2-2,2,2,2,2,5,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekend_evening,10,2-5-2-2,2,5,2,2,1,yyyyyrrrrrrrrrrrrryyyy,Transition
weekend_evening,11,2-4-2-2,2,4,2,2,14,GGGGGrrrrrrrrrrrrrGGGG,Release
weekend_evening,12,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy,Transition
weekend_evening,13,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekend_evening,14,2-2-2-5,2,2,2,5,1,rrrrrrrrryyyyrrrrrrrrr,Transition
weekend_evening,15,2-2-2-4,2,2,2,4,9,rrrrrrrrrGGGGrrrrrrrrr,Release
weekend_evening,16,2-2-2-3,2,2,2,3,3,rrrrrrrrryyyyrrrrrrrrr,Transition
weekend_evening,17,2-2-2-2,2,2,2,2,6,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekend_evening,18,5-2-5-2,5,2,5,2,1,rrrrryyyyrrrryyyyyrrrr,Transition
weekend_evening,19,4-2-4-2,4,2,4,2,38,rrrrrGGGGrrrrGGGGGrrrr,Release
weekend_evening,20,3-2-3-2,3,2,3,2,3,rrrrryyyyrrrryyyyyrrrr,Transition
