scenario,phase,pattern,K1,K2,K3,K4,duration_s,sumo_state,phase_type
weekend_morning,1,2-4-2-2,2,4,2,2,19,GGGGGrrrrrrrrrrrrrGGGG,Release
weekend_morning,2,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy,Transition
weekend_morning,3,2-2-2-2,2,2,2,2,2,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekend_morning,4,2-2-5-2,2,2,5,2,1,rrrrryyyyrrrrrrrrrrrrr,Transition
weekend_morning,5,2-2-4-2,2,2,4,2,4,rrrrrGGGGrrrrrrrrrrrrr,Release
weekend_morning,6,5-2-4-2,5,2,4,2,1,rrrrrGGGGrrrryyyyyrrrr,Release
weekend_morning,7,4-2-4-2,4,2,4,2,44,rrrrrGGGGrrrrGGGGGrrrr,Release
weekend_morning,8,3-2-3-2,3,2,3,2,3,rrrrryyyyrrrryyyyyrrrr,Transition
weekend_morning,9,2-2-2-2,2,2,2,2,5,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekend_morning,10,2-5-2-2,2,5,2,2,1,yyyyyrrrrrrrrrrrrryyyy,Transition
weekend_morning,11,2-4-2-2,2,4,2,2,26,GGGGGrrrrrrrrrrrrrGGGG,Release
weekend_morning,12,2-3-2-2,2,3,2,2,3,yyyyyrrrrrrrrrrrrryyyy,Transition
weekend_morning,13,2-2-2-2,2,2,2,2,2,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekend_morning,14,2-2-5-2,2,2,5,2,1,rrrrryyyyrrrrrrrrrrrrr,Transition
weekend_morning,15,2-2-4-2,2,2,4,2,4,rrrrrGGGGrrrrrrrrrrrrr,Release
weekend_morning,16,5-2-4-2,5,2,4,2,1,rrrrrGGGGrrrryyyyyrrrr,Release
weekend_morning,17,4-2-4-2,4,2,4,2,46,rrrrrGGGGrrrrGGGGGrrrr,Release
weekend_morning,18,3-2-3-2,3,2,3,2,3,rrrrryyyyrrrryyyyyrrrr,Transition
weekend_morning,19,2-2-2-2,2,2,2,2,5,rrrrrrrrrrrrrrrrrrrrrr,Clearance
weekend_morning,20,2-5-2-2,2,5,2,2,1,yyyyyrrrrrrrrrrrrryyyy,Transition
